Pattern, Support-Frequence
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_0'], ['QuasiPiena_T2_3']]], ['0.9922438359558915-80084']]
[[[['QuasiPiena_T0_3,Piena_T0_3,Piena_T0_3,Piena_T0_0'], ['QuasiPiena_T2_3']]], ['0.9922092437158949-90551']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_2']]], ['0.9921660757017344-113605']]
[[[['QuasiPiena_T0_3,Piena_T0_3,Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_3']]], ['0.9921516153519551-77113']]
[[[['Piena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9920858718919809-96399']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,QuasiPiena_T1_0'], ['QuasiPiena_T2_3']]], ['0.9920573741155742-144138']]
[[[['QuasiPiena_T0_3,QuasiPiena_T0_3,Piena_T0_0'], ['Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9920327087877489-108700']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_0,Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9920066483690719-90720']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_2'], ['Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9919908166037207-113205']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3'], ['Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9919756158248321-111629']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9919649119691737-111726']]
[[[['QuasiPiena_T0_3,Piena_T0_2,Piena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_3']]], ['0.991882997273866-80773']]
[[[['QuasiPiena_T0_0,Piena_T0_3'], ['Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_3']]], ['0.9918757742502377-103287']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_3']]], ['0.991874299034592-90207']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_3']]], ['0.9918394849142772-92736']]
[[[['Piena_T0_3,Piena_T0_3,Piena_T0_0'], ['Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9918260694784095-88821']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_2']]], ['0.9918214975327183-115572']]
[[[['Piena_T0_3,Piena_T0_3,Piena_T0_0'], ['Piena_T1_1'], ['QuasiPiena_T2_3']]], ['0.9917706566032949-62548']]
